Secrets Portal - Cost Analysis Spreadsheet

SECTION 1: EC2 INTERNAL (ROUTE53 ONLY)
Component,Specification,Unit Cost,Quantity,Monthly Cost,Annual Cost,Notes
EC2 Instance,t3.small (2 vCPU 2GB RAM),$15.20,1,$15.20,$182.40,On-demand pricing
EBS Storage,30 GB gp3,$0.08,30,$2.40,$28.80,General purpose SSD
EBS Snapshots,10 GB weekly backups,$0.05,10,$0.50,$6.00,Backup storage
Route53,Private hosted zone,$0.50,1,$0.50,$6.00,Internal DNS
DynamoDB,200 items on-demand,$2.00,1,$2.00,$24.00,Metadata + audit logs
Secrets Manager,150 secrets,$0.40,150,$60.00,$720.00,Secret storage
Cognito,20 users,$0.00,20,$0.00,$0.00,Free tier
CloudWatch Logs,5 GB ingestion,$0.50,5,$2.50,$30.00,Application logs
CloudWatch Metrics,2 custom metrics,$0.30,2,$0.60,$7.20,CPU + Memory
CloudWatch Alarms,3 alarms,$0.10,3,$0.30,$3.60,Monitoring alerts
SNS,1000 emails/month,$0.00,1,$0.02,$0.24,Notifications
EventBridge,10K events/month,$0.00,1,$0.01,$0.12,Change tracking
Lambda,Rotation checker,$0.15,1,$0.15,$1.80,Scheduled function
EC2 INTERNAL TOTAL,,,,=$84.18,$1,010.16,

SECTION 2: EC2 + ALB (PUBLIC ACCESS)
Component,Specification,Unit Cost,Quantity,Monthly Cost,Annual Cost,Notes
EC2 Instance,t3.small (2 vCPU 2GB RAM),$15.20,1,$15.20,$182.40,On-demand pricing
EBS Storage,30 GB gp3,$0.08,30,$2.40,$28.80,General purpose SSD
EBS Snapshots,10 GB weekly backups,$0.05,10,$0.50,$6.00,Backup storage
Application Load Balancer,1 ALB + LCU,$16.20,1,$16.20,$194.40,Load balancer
Route53,Public hosted zone,$0.50,1,$0.50,$6.00,Public DNS
DynamoDB,200 items on-demand,$2.00,1,$2.00,$24.00,Metadata + audit logs
Secrets Manager,150 secrets,$0.40,150,$60.00,$720.00,Secret storage
Cognito,20 users,$0.00,20,$0.00,$0.00,Free tier
CloudWatch Logs,5 GB ingestion,$0.50,5,$2.50,$30.00,Application logs
CloudWatch Metrics,2 custom metrics,$0.30,2,$0.60,$7.20,CPU + Memory
CloudWatch Alarms,3 alarms,$0.10,3,$0.30,$3.60,Monitoring alerts
SNS,1000 emails/month,$0.00,1,$0.02,$0.24,Notifications
EventBridge,10K events/month,$0.00,1,$0.01,$0.12,Change tracking
Lambda,Rotation checker,$0.15,1,$0.15,$1.80,Scheduled function
SSL Certificate,ACM certificate,$0.00,1,$0.00,$0.00,Free with ALB
EC2 + ALB TOTAL,,,,=$99.88,$1,198.56,

SECTION 3: ECS FARGATE
Component,Specification,Unit Cost,Quantity,Monthly Cost,Annual Cost,Notes
Fargate vCPU,0.5 vCPU × 730 hours,$0.04048,365,$14.60,$175.20,Compute
Fargate Memory,1 GB × 730 hours,$0.004445,730,$3.20,$38.40,Memory
Application Load Balancer,1 ALB + LCU,$16.20,1,$16.20,$194.40,Load balancer
ECR Storage,2 GB (2 images),$0.10,2,$0.20,$2.40,Container registry
Route53,Public hosted zone,$0.50,1,$0.50,$6.00,Public DNS
DynamoDB,200 items on-demand,$2.00,1,$2.00,$24.00,Metadata + audit logs
Secrets Manager,150 secrets,$0.40,150,$60.00,$720.00,Secret storage
Cognito,20 users,$0.00,20,$0.00,$0.00,Free tier
CloudWatch Logs,5 GB ingestion,$0.50,5,$2.50,$30.00,Container logs
CloudWatch Metrics,2 custom metrics,$0.30,2,$0.60,$7.20,Container Insights
CloudWatch Alarms,3 alarms,$0.10,3,$0.30,$3.60,Monitoring alerts
SNS,1000 emails/month,$0.00,1,$0.02,$0.24,Notifications
EventBridge,10K events/month,$0.00,1,$0.01,$0.12,Change tracking
Lambda,Rotation checker,$0.15,1,$0.15,$1.80,Scheduled function
SSL Certificate,ACM certificate,$0.00,1,$0.00,$0.00,Free with ALB
ECS FARGATE TOTAL,,,,=$100.28,$1,203.36,

SECTION 4: AWS AMPLIFY + LAMBDA
Component,Specification,Unit Cost,Quantity,Monthly Cost,Annual Cost,Notes
Amplify Hosting,Build + hosting + CDN,$0.00,1,$0.00,$0.00,Within free tier
Amplify Build,30 builds × 5 min,$0.00,150,$0.00,$0.00,First 1000 min free
Amplify Storage,5 GB,$0.00,5,$0.00,$0.00,First 5 GB free
Amplify Transfer,15 GB/month,$0.00,15,$0.00,$0.00,First 15 GB free
API Gateway,1M requests,$3.50,1,$3.50,$42.00,REST API
